Município1;Código Município IBGE;UF1;Data;Média de Índice De Isolamento
AMERICANA;3501608;SP;domingo, 31/05;50%
AMERICANA;3501608;SP;sábado, 30/05;48%
AMERICANA;3501608;SP;sexta-feira, 29/05;44%
AMERICANA;3501608;SP;quinta-feira, 28/05;44%
AMERICANA;3501608;SP;quarta-feira, 27/05;44%
AMERICANA;3501608;SP;terça-feira, 26/05;41%
AMERICANA;3501608;SP;segunda-feira, 25/05;44%
AMERICANA;3501608;SP;domingo, 24/05;50%
AMERICANA;3501608;SP;sábado, 23/05;46%
AMERICANA;3501608;SP;sexta-feira, 22/05;44%
AMERICANA;3501608;SP;quinta-feira, 21/05;44%
AMERICANA;3501608;SP;quarta-feira, 20/05;43%
AMERICANA;3501608;SP;terça-feira, 19/05;44%
AMERICANA;3501608;SP;segunda-feira, 18/05;45%
AMERICANA;3501608;SP;domingo, 17/05;50%
AMERICANA;3501608;SP;sábado, 16/05;46%
AMERICANA;3501608;SP;sexta-feira, 15/05;43%
AMERICANA;3501608;SP;quinta-feira, 14/05;43%
AMERICANA;3501608;SP;quarta-feira, 13/05;43%
AMERICANA;3501608;SP;terça-feira, 12/05;43%
AMERICANA;3501608;SP;segunda-feira, 11/05;44%
AMERICANA;3501608;SP;domingo, 10/05;51%
AMERICANA;3501608;SP;sábado, 09/05;47%
AMERICANA;3501608;SP;sexta-feira, 08/05;42%
AMERICANA;3501608;SP;quinta-feira, 07/05;43%
AMERICANA;3501608;SP;quarta-feira, 06/05;43%
AMERICANA;3501608;SP;terça-feira, 05/05;44%
AMERICANA;3501608;SP;segunda-feira, 04/05;45%
AMERICANA;3501608;SP;domingo, 03/05;56%
AMERICANA;3501608;SP;sábado, 02/05;50%
AMERICANA;3501608;SP;sexta-feira, 01/05;54%
AMERICANA;3501608;SP;quinta-feira, 30/04;43%
AMERICANA;3501608;SP;quarta-feira, 29/04;44%
AMERICANA;3501608;SP;terça-feira, 28/04;45%
AMERICANA;3501608;SP;segunda-feira, 27/04;45%
AMERICANA;3501608;SP;domingo, 26/04;57%
AMERICANA;3501608;SP;sábado, 25/04;50%
AMERICANA;3501608;SP;sexta-feira, 24/04;45%
AMERICANA;3501608;SP;quinta-feira, 23/04;45%
AMERICANA;3501608;SP;quarta-feira, 22/04;45%
AMERICANA;3501608;SP;terça-feira, 21/04;55%
AMERICANA;3501608;SP;segunda-feira, 20/04;48%
AMERICANA;3501608;SP;domingo, 19/04;58%
AMERICANA;3501608;SP;sábado, 18/04;49%
AMERICANA;3501608;SP;sexta-feira, 17/04;45%
AMERICANA;3501608;SP;quinta-feira, 16/04;47%
AMERICANA;3501608;SP;quarta-feira, 15/04;47%
AMERICANA;3501608;SP;terça-feira, 14/04;48%
AMERICANA;3501608;SP;segunda-feira, 13/04;47%
AMERICANA;3501608;SP;domingo, 12/04;58%
AMERICANA;3501608;SP;sábado, 11/04;53%
AMERICANA;3501608;SP;sexta-feira, 10/04;57%
AMERICANA;3501608;SP;quinta-feira, 09/04;46%
AMERICANA;3501608;SP;quarta-feira, 08/04;49%
AMERICANA;3501608;SP;terça-feira, 07/04;50%
AMERICANA;3501608;SP;segunda-feira, 06/04;50%
AMERICANA;3501608;SP;domingo, 05/04;58%
AMERICANA;3501608;SP;sábado, 04/04;58%
AMERICANA;3501608;SP;sexta-feira, 03/04;53%
